PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin_A,Cabin_B,Cabin_C,Cabin_D,Cabin_E,Cabin_F,Name_unmarried,Name_posh,Name_military,Name_service
153,0,3,1,55.5,0,0,8.05,0,0,0,0,0,0,0,0,0,0
203,0,3,1,34.0,0,0,6.4958,0,0,0,0,0,0,0,0,0,0
658,0,3,0,32.0,1,1,15.5,0,0,0,0,0,0,0,0,0,0
197,0,3,1,29.69911764705882,0,0,7.75,0,0,0,0,0,0,0,0,0,0
638,0,2,1,31.0,1,1,26.25,0,0,0,0,0,0,0,0,0,0
316,1,3,0,26.0,0,0,7.8542,0,0,0,0,0,0,1,0,0,0
747,0,3,1,16.0,1,1,20.25,0,0,0,0,0,0,0,0,0,0
400,1,2,0,28.0,0,0,12.65,0,0,0,0,0,0,0,0,0,0
163,0,3,1,26.0,0,0,7.775,0,0,0,0,0,0,0,0,0,0
392,1,3,1,21.0,0,0,7.7958,0,0,0,0,0,0,0,0,0,0
786,0,3,1,25.0,0,0,7.25,0,0,0,0,0,0,0,0,0,0
702,1,1,1,35.0,0,0,26.2875,0,0,0,0,1,0,0,0,0,0
209,1,3,0,16.0,0,0,7.75,0,0,0,0,0,0,1,0,0,0
841,0,3,1,20.0,0,0,7.925,0,0,0,0,0,0,0,0,0,0
695,0,1,1,60.0,0,0,26.55,0,0,0,0,0,0,0,0,0,0
615,0,3,1,35.0,0,0,8.05,0,0,0,0,0,0,0,0,0,0
645,1,3,0,0.75,2,1,19.2583,0,0,0,0,0,0,1,0,0,0
172,0,3,1,4.0,4,1,29.125,0,0,0,0,0,0,0,0,0,0
754,0,3,1,23.0,0,0,7.8958,0,0,0,0,0,0,0,0,0,0
729,0,2,1,25.0,1,0,26.0,0,0,0,0,0,0,0,0,0,0
249,1,1,1,37.0,1,1,52.5542,0,0,0,1,0,0,0,0,0,0
513,1,1,1,36.0,0,0,26.2875,0,0,0,0,1,0,0,0,0,0
386,0,2,1,18.0,0,0,73.5,0,0,0,0,0,0,0,0,0,0
790,0,1,1,46.0,0,0,79.2,0,1,0,0,0,0,0,0,0,0
621,0,3,1,27.0,1,0,14.4542,0,0,0,0,0,0,0,0,0,0
411,0,3,1,29.69911764705882,0,0,7.8958,0,0,0,0,0,0,0,0,0,0
459,1,2,0,50.0,0,0,10.5,0,0,0,0,0,0,1,0,0,0
347,1,2,0,40.0,0,0,13.0,0,0,0,0,0,0,1,0,0,0
627,0,2,1,57.0,0,0,12.35,0,0,0,0,0,0,0,0,0,0
202,0,3,1,29.69911764705882,8,2,69.55,0,0,0,0,0,0,0,0,0,0
673,0,2,1,70.0,0,0,10.5,0,0,0,0,0,0,0,0,0,0
217,1,3,0,27.0,0,0,7.925,0,0,0,0,0,0,1,0,0,0
261,0,3,1,29.69911764705882,0,0,7.75,0,0,0,0,0,0,0,0,0,0
337,0,1,1,29.0,1,0,66.6,0,0,1,0,0,0,0,0,0,0
599,0,3,1,29.69911764705882,0,0,7.225,0,0,0,0,0,0,0,0,0,0
636,1,2,0,28.0,0,0,13.0,0,0,0,0,0,0,1,0,0,0
338,1,1,0,41.0,0,0,134.5,0,0,0,0,1,0,1,0,0,0
285,0,1,1,29.69911764705882,0,0,26.0,1,0,0,0,0,0,0,0,0,0
851,0,3,1,4.0,4,2,31.275,0,0,0,0,0,0,0,0,0,0
522,0,3,1,22.0,0,0,7.8958,0,0,0,0,0,0,0,0,0,0
283,0,3,1,16.0,0,0,9.5,0,0,0,0,0,0,0,0,0,0
801,0,2,1,34.0,0,0,13.0,0,0,0,0,0,0,0,0,0,0
224,0,3,1,29.69911764705882,0,0,7.8958,0,0,0,0,0,0,0,0,0,0
154,0,3,1,40.5,0,2,14.5,0,0,0,0,0,0,0,0,0,0
77,0,3,1,29.69911764705882,0,0,7.8958,0,0,0,0,0,0,0,0,0,0
603,0,1,1,29.69911764705882,0,0,42.4,0,0,0,0,0,0,0,0,0,0
31,0,1,1,40.0,0,0,27.7208,0,0,0,0,0,0,0,1,0,0
415,1,3,1,44.0,0,0,7.925,0,0,0,0,0,0,0,0,0,0
248,1,2,0,24.0,0,2,14.5,0,0,0,0,0,0,0,0,0,0
689,0,3,1,18.0,0,0,7.7958,0,0,0,0,0,0,0,0,0,0
324,1,2,0,22.0,1,1,29.0,0,0,0,0,0,0,0,0,0,0
91,0,3,1,29.0,0,0,8.05,0,0,0,0,0,0,0,0,0,0
651,0,3,1,29.69911764705882,0,0,7.8958,0,0,0,0,0,0,0,0,0,0
211,0,3,1,24.0,0,0,7.05,0,0,0,0,0,0,0,0,0,0
250,0,2,1,54.0,1,0,26.0,0,0,0,0,0,0,0,0,0,0
769,0,3,1,29.69911764705882,1,0,24.15,0,0,0,0,0,0,0,0,0,0
720,0,3,1,33.0,0,0,7.775,0,0,0,0,0,0,0,0,0,0
428,1,2,0,19.0,0,0,26.0,0,0,0,0,0,0,1,0,0,0
12,1,1,0,58.0,0,0,26.55,0,0,1,0,0,0,1,0,0,0
732,0,3,1,11.0,0,0,18.7875,0,0,0,0,0,0,0,0,0,0
83,1,3,0,29.69911764705882,0,0,7.7875,0,0,0,0,0,0,1,0,0,0
29,1,3,0,29.69911764705882,0,0,7.8792,0,0,0,0,0,0,1,0,0,0
368,1,3,0,29.69911764705882,0,0,7.2292,0,0,0,0,0,0,0,0,0,0
422,0,3,1,21.0,0,0,7.7333,0,0,0,0,0,0,0,0,0,0
242,1,3,0,29.69911764705882,1,0,15.5,0,0,0,0,0,0,1,0,0,0
307,1,1,0,29.69911764705882,0,0,110.8833,0,0,0,0,0,0,1,0,0,0
692,1,3,0,4.0,0,1,13.4167,0,0,0,0,0,0,1,0,0,0
497,1,1,0,54.0,1,0,78.2667,0,0,0,1,0,0,1,0,0,0
674,1,2,1,31.0,0,0,13.0,0,0,0,0,0,0,0,0,0,0
442,0,3,1,20.0,0,0,9.5,0,0,0,0,0,0,0,0,0,0
357,1,1,0,22.0,0,1,55.0,0,0,0,0,1,0,1,0,0,0
782,1,1,0,17.0,1,0,57.0,0,1,0,0,0,0,0,0,0,0
18,1,2,1,29.69911764705882,0,0,13.0,0,0,0,0,0,0,0,0,0,0
349,1,3,1,3.0,1,1,15.9,0,0,0,0,0,0,0,0,0,0
178,0,1,0,50.0,0,0,28.7125,0,0,1,0,0,0,1,0,0,0
486,0,3,0,29.69911764705882,3,1,25.4667,0,0,0,0,0,0,1,0,0,0
